scenario id,user,assistant - extended,assistant - short,assistant - details,assistant - risk id,assistant - risk description,assistant - vulnerability id,assistant - vulnerability description,assistant - risk occurrence type
 S162, The data relating to “user authentication” are available to anyone who requests them., The described scenario presents at least one security threat., Yes,"Credentials must be personal, nominative and must never be shared", M6, Computer virus attack, V9, Non-existent logical access procedures, Real
 S29, The data is separated, The scenario is not sufficiently characterized to perform a preliminary analysis., More, The criteria according to which the data separation is carried out are not specified, M4, Asynchronous attack, V21, Insufficient separation of logical work areas, Potential
 S66, There are no specific procedures for controlling the development of new software created directly by the company, The described scenario presents at least one security threat., Yes, The suitability and safety of the developed software are not evaluated, M27, Violation of login procedures, V7, Untested software applications, Real
 S86,Users are allowed to leave their workstations without having to take any special precautions., The described scenario presents at least one security threat., Yes,The workstations are not properly locked in the absence of the user, M27, Violation of login procedures, V8, Inadequate logical access control, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M17, Entering false information, V14, Inadequate supervision, Potential
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M17, Entering false information, V10, Incorrect input/output procedures, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M28, Network worm, V23, Unauthorized software applications, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M7, Logic bombs, V23, Unauthorized software applications, Real
 S175,"The Application Administrator is informed of any malfunction of all the HW components of the Application (PC, server, switch, etc.)", The described scenario presents no known security threats., No,,,,,,
 S82," The CED is installed inside a room with plasterboard walls, closed with a normal wooden door", The described scenario presents at least one security threat., Yes, The access door does not provide adequate protection against unauthorized access, M25, Sabotage, V33, Lack of access control to the CED area, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M6, Computer virus attack, V4, Failure to periodically check the procedures installed on the system, Potential
 S164," The CIS Application services are managed based on user access rights, identification and assignment of access rights are managed directly by the system users.", The described scenario presents at least one security threat., Yes, Only the CIS Security Officer and the System Administrator must manage the users and assign the related rights, M5, Trojan Horse Attack, V8, Inadequate logical access control, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M10, Covert storage channel, V23, Unauthorized software applications, Real
 S80, There are no detection systems against night-time or unauthorized intrusions, The described scenario presents at least one security threat., Yes, The system is subject to theft and sabotage, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M27, Violation of login procedures, V3, Uncontrolled changes to the application software, Potential
 S3,The connection between the data center and the offices is made of fiber optics., The scenario is not sufficiently characterized to perform a preliminary analysis., More, Details on data line protection are missing, M18, Interception and espionage, V1, Communication channels not adequately protected, Potential
 S70, No security patches released by the manufacturer are ever applied to the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to new cyber threats, M6, Computer virus attack, V4, Failure to periodically check the procedures installed on the system, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M26, Unnoticed data theft, V15, Ignorance of safety procedures, Real
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M26, Unnoticed data theft, V21, Insufficient separation of logical work areas, Potential
 S103,"Users must use passwords of at least 12 characters to access the system, which must contain at least one number, one special character and one capital letter. Furthermore, it is not possible to enter more than two consecutive identical numbers or letters and it is not possible to enter empty passwords or passwords vulnerable to dictionary-based attacks", The described scenario presents no known security threats., No,,,,,,
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M14, Accidental error, V11, Errors in programs, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M7, Logic bombs, V7, Untested software applications, Potential
 S88," The waste material is sent directly to the landfill, without any control", The described scenario presents at least one security threat., Yes, Uncontrolled abandoned material may contain recoverable classified data, M21, Masking, V24, Abandoned waste material, Real
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M5, Trojan Horse Attack, V16, Untrained staff, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M6, Computer virus attack, V23, Unauthorized software applications, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M17, Entering false information, V10, Incorrect input/output procedures, Potential
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M11, Covert timing channel, V7, Untested software applications, Potential
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M4, Asynchronous attack, V3, Uncontrolled changes to the application software, Real
 S180,"Software updates concern only the antivirus, and are performed offline.", The described scenario presents at least one security threat., Yes, Updates must cover all security and critical system components., M22, Hidden access doors, V5," Exploiting operating system ""holes""", Real
 S156," It is up to the sensitivity of the staff to ensure compliance with the application of safety procedures, which are described for this purpose in the ""Internal Safety Regulations"" of each location, where the safety measures adopted are indicated in detail.", The described scenario presents at least one security threat., Yes, There is no provision for enforcing the application of safety measures by managers towards all personnel., M17, Entering false information, V16, Untrained staff, Real
 S86,Users are allowed to leave their workstations without having to take any special precautions., The described scenario presents at least one security threat., Yes,The workstations are not properly locked in the absence of the user, M6, Computer virus attack, V9, Non-existent logical access procedures, Real
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M21, Masking, V16, Untrained staff, Real
 S35, There is a register for access to restricted areas, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the methods of recording access to restricted areas are adequate, M21, Masking, V14, Inadequate supervision, Potential
 S55," All printed documents are closed inside specific security containers, based on the highest classification level of the information contained therein, when not directly consulted by authorized personnel.", The described scenario presents no known security threats., No,,,,,,
 S171, At least once every six months the consistency of the users registered in the CIS Platform is verified, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the checks are also conducted on the system or only on the documentation, M7, Logic bombs, V9, Non-existent logical access procedures, Potential
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes," The system can be (negligently, maliciously or accidentally) infected by malware by technicians", M11, Covert timing channel, V7, Untested software applications, Real
 S49, Computers handle highly classified data but no TEMPEST protection measures are in place, The described scenario presents at least one security threat., Yes, It is possible to intercept data through the electromagnetic emissions of the system, M19, Electromagnetic interference, V30, Electromagnetic emanations, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M27, Violation of login procedures, V7, Untested software applications, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M1, Queuing access, V19, Changing system hardware configuration, Real
 S171, At least once every six months the consistency of the users registered in the CIS Service is verified, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the checks are also conducted on the system or only on the documentation, M1, Queuing access, V8, Inadequate logical access control, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M6, Computer virus attack, V8, Inadequate logical access control, Real
 S9, A password is required to access the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, Details on password features are missing, M28, Network worm, V14, Inadequate supervision, Potential
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M26, Unnoticed data theft, V7, Untested software applications, Potential
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M7, Logic bombs, V4, Failure to periodically check the procedures installed on the system, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M5, Trojan Horse Attack, V8, Inadequate logical access control, Potential
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes," The system can be (negligently, maliciously or accidentally) infected by malware by technicians", M7, Logic bombs, V23, Unauthorized software applications, Real
 S118, There are several locations where classified data is processed but only the main one has a security organization, The described scenario presents at least one security threat., Yes, In case of emergency there is no reference figure at the headquarters to contact, M12, Accidental damage to media, V18, Improper manipulation of mass storage devices, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M6, Computer virus attack, V23, Unauthorized software applications, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M6, Computer virus attack, V9, Non-existent logical access procedures, Real
 S130," Authorized visitors can, in principle, access restricted areas", The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is unclear how visitors are monitored., M15, Physical theft of media, V32, Inadequate access control to the CED area, Potential
 S111," Before handing over a computer or server to the equipment maintenance technicians, all the mass storage devices installed in them are removed and stored in the appropriate security containers based on the maximum classification level of the data saved on them.", The described scenario presents no known security threats., No,,,,,,
 S91, Eating/drinking near servers and terminals is prohibited, The described scenario presents no known security threats., No,,,,,,
 S138," If the envelope containing the Platform Administrator password is opened, the password remains the same and is only changed when decided by the person who used it.", The described scenario presents at least one security threat., Yes, The System Administrator password management methods are not adequate, M27,Violation of login procedures, V8, Inadequate logical access control, Real
 S66, There are no specific procedures for controlling the development of new software created directly by the company, The described scenario presents at least one security threat., Yes, The suitability and safety of the developed software are not evaluated, M10, Covert storage channel, V7, Untested software applications, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M13, Destruction of the CED area, V38, System not protected from explosions, Potential
 S60, Visitors are not accompanied when authorized, The described scenario presents at least one security threat., Yes, Visitors can sabotage the system, M25, Sabotage, V32, Inadequate access control to the CED area, Real
 S34, There is no register for access to restricted areas, The described scenario presents at least one security threat., Yes, It is not possible to verify who has accessed the restricted areas, M6, Computer virus attack, V14, Inadequate supervision, Real
 S102," Users can also use passwords made up of identical characters or numbers to access the system, and it is also possible to use empty passwords or passwords of the type ""password"" or ""admin""", The described scenario presents at least one security threat., Yes, The logical access control system is not adequate, M7, Logic bombs, V9, Non-existent logical access procedures, Real
 S69,"Before being put into operation, the system is checked and evaluated through vulnerability assessment and penetration testing tools. This activity is repeated on a periodic basis (at least once a year)", The described scenario presents no known security threats., No,,,,,,
 S6, There are no fire protection systems installed on the site, The described scenario presents at least one security threat., Yes, The system is vulnerable to fires, M16, Fire, V28, Inadequate high temperature protection, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M27, Violation of login procedures, V3, Uncontrolled changes to the application software,Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M23, Unconditional access procedure, V2, Uncontrolled changes to the operating system, Potential
 S23, There are written procedures, The scenario is not sufficiently characterized to perform a preliminary analysis., More,It is not possible to know with sufficient certainty whether users can refer to correct procedures, M5, Trojan Horse Attack, V4, Failure to periodically check the procedures installed on the system, Potential
 S62, Server systems are placed on a table, The described scenario presents at least one security threat., Yes, The system can easily fall to the ground and be damaged, M12, Accidental damage to media, V31, Hardware devices that are not physically locked, Real
 S59, It is forbidden to make copies of digital media and printed documents, The described scenario presents no known security threats., No,,,,,,
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M23, Unconditional access procedure, V3, Uncontrolled changes to the application software, Real
 S26, Staff is trained, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to know whether the staff is adequately trained, M28, Network worm, V16, Untrained staff, Potential
 S81,"An alarm system is installed with dual technology sensors with infrared detection and heat and motion sensitive cameras. In the event of an alarm, the control panel contacts both the Security Manager and the nearest Carabinieri Station by telephone.", The described scenario presents no known security threats., No,,,,,,
 S20, There are emergency plans, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to verify the correctness of the emergency procedures, M8, Lightning strike, V12, Untested emergency procedures, Potential
 S24," All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary", The described scenario presents no known security threats., No,,,,,,
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M20,Service interruption, V14, Inadequate supervision, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S86,Users are allowed to leave their workstations without having to take any special precautions., The described scenario presents at least one security threat., Yes,The workstations are not properly locked in the absence of the user, M1, Queuing access, V8, Inadequate logical access control, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M4, Asynchronous attack, V3, Uncontrolled changes to the application software, Potential
 S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.", The described scenario presents at least one security threat., Yes, The system is vulnerable to data theft/theft, M26, Unnoticed data theft, V25, Insufficient information surveillance, Real
 S34, There is no register for access to restricted areas, The described scenario presents at least one security threat., Yes, It is not possible to verify who has accessed the restricted areas, M25, Sabotage, V33, Lack of access control to the CED area, Real
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M26, Unnoticed data theft, V7, Untested software applications, Real
 S134," The keys to the reserved areas are given to those who need them, without having to verify their authorization.", The described scenario presents at least one security threat., Yes, Unauthorized personnel are allowed access to the system, M14, Accidental error, V14, Inadequate supervision, Real
 S38, The computers are installed in locked offices, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is unclear whether access to the workstations is properly supervised., M5, Trojan Horse Attack, V14, Inadequate supervision, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M10, Covert storage channel, V7, Untested software applications, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M6, Computer virus attack, V7, Untested software applications, Real
 S44, Is there any control over external drives connected to the system or your work computer?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, The ways in which external storage media are controlled are not detailed enough, M21, Masking, V14, Inadequate supervision, Potential
 S34, There is no register for access to restricted areas, The described scenario presents at least one security threat., Yes, It is not possible to verify who has accessed the restricted areas, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M7, Logic bombs, V7, Untested software applications, Potential
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M4, Asynchronous attack, V23, Unauthorized software applications, Real
 S156," It is up to the sensitivity of the staff to ensure compliance with the application of safety procedures, which are described for this purpose in the ""Internal Safety Regulations"" of each location, where the safety measures adopted are indicated in detail.", The described scenario presents at least one security threat., Yes, There is no provision for enforcing the application of safety measures by managers towards all personnel., M21, Masking, V16, Untrained staff, Real
 S14," The system is installed in the highest-ranking operating mode, and only authorized users can access documents.", The scenario is not sufficiently characterized to perform a preliminary analysis., More, There are no details on how to access the documents, M26, Unnoticed data theft, V23, Unauthorized software applications, Potential
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M9, Searching through the garbage, V24, Abandoned waste material, Real
 S156," It is up to the sensitivity of the staff to ensure compliance with the application of safety procedures, which are described for this purpose in the ""Internal Safety Regulations"" of each location, where the safety measures adopted are indicated in detail.", The described scenario presents at least one security threat., Yes, There is no provision for enforcing the application of safety measures by managers towards all personnel., M14, Accidental error, V16, Untrained staff, Real
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M26, Unnoticed data theft, V7, Untested software applications, Potential
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M6, Computer virus attack, V3, Uncontrolled changes to the application software, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M6, Computer virus attack, V3, Uncontrolled changes to the application software, Real
 S70, No security patches released by the manufacturer are ever applied to the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to new cyber threats, M4, Asynchronous attack, V4, Failure to periodically check the procedures installed on the system, Real
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes," The system can be (negligently, maliciously or accidentally) infected by malware by technicians", M7, Logic bombs, V3, Uncontrolled changes to the application software, Real
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M10, Covert storage channel, V7, Untested software applications, Real
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M10, Covert storage channel, V36, No control over system clock, Potential
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M14, Accidental error, V16,Untrained staff, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M25, Sabotage, V14, Inadequate supervision, Potential
 S153,"At the end of an event that requires the implementation of emergency procedures, the Security Officer orders the immediate resumption of activities, without verifying the consistency of the classified material", The described scenario presents at least one security threat., Yes, The security measures adopted do not allow for the verification of the consistency of the classified material at the end of an emergency, M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M16, Fire, V12, Untested emergency procedures, Real
 S8,"The site is equipped with a fire protection system based on Halon 1301 gas with smoke detector and a temperature control system based on a redundant air conditioner with humidity sensors. In addition, the system is connected to the nearest Fire Brigade station which is automatically contacted in the event of an alarm.", The described scenario presents no known security threats., No,,,,,,
 S170,"At least once every six months, the consistency of the users registered in the CIS Application with those actually authorised and necessary is verified. During this check, only formal checks are carried out based on the registered documentation", The described scenario presents at least one security threat., Yes, Audits must be conducted on the system and not just on the documentation, M5, Trojan Horse Attack, V9, Non-existent logical access procedures, Real
 S13,"The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.", The described scenario presents at least one security threat., Yes, The system is vulnerable to unauthorized logical access, M7, Logic bombs, V9, Non-existent logical access procedures, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M2, Power supply, V35, System not protected from electrostatic charges, Potential
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M22, Hidden access doors, V3, Uncontrolled changes to the application software, Potential
 S18, Application logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M10, Covert storage channel, V7, Untested software applications, Potential
 S134," The keys to the reserved areas are given to those who need them, without having to verify their authorization.", The described scenario presents at least one security threat., Yes, Unauthorized personnel are allowed access to the system, M28, Network worm, V14, Inadequate supervision, Real
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M7, Logic bombs, V8, Inadequate logical access control, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M9, Searching through the garbage, V24, Abandoned waste material, Potential
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M16, Fire, V28, Inadequate high temperature protection, Potential
 S187,The maximum classification level of the information processed is SECRET but it is not considered necessary to adopt TEMPEST protection measures for the equipment and communication networks used in the CIS system in question., The described scenario presents at least one security threat., Yes, The possibility of not adopting TEMPEST safety measures can only be assessed following the implementation of a TEMPEST Zoning, M24, Playback Retransmission, V1, Communication channels not adequately protected, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M6, Computer virus attack, V14, Inadequate supervision, Potential
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M21, Masking, V24, Abandoned waste material, Real
 S162, The data relating to “user authentication” are available to anyone who requests them., The described scenario presents at least one security threat., Yes,"Credentials must be personal, nominative and must never be shared", M7, Logic bombs, V9, Non-existent logical access procedures, Real
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M22, Hidden access doors, V3, Uncontrolled changes to the application software, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M15, Physical theft of media, V32, Inadequate access control to the CED area, Potential
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M7, Logic bombs, V3, Uncontrolled changes to the application software, Real
 S176," In case of any malfunction of all the HW components of the Platform (PC, server, switch, etc.) users contact the company in charge of maintenance directly without informing anyone else.", The described scenario presents at least one security threat., Yes,"Only the System Administrator can contact the company in charge of maintenance, informing the CIS Security Officer in advance", M8, Lightning strike, V12, Untested emergency procedures, Real
 S102," Users can also use passwords made up of identical characters or numbers to access the system, and it is also possible to use empty passwords or passwords of the type ""password"" or ""admin""", The described scenario presents at least one security threat., Yes, The logical access control system is not adequate, M27, Violation of login procedures, V8, Inadequate logical access control, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M20, Service interruption, V23, Unauthorized software applications, Real
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M7, Logic bombs, V23, Unauthorized software applications, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M5, Trojan Horse Attack, V3, Uncontrolled changes to the application software, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M14, Accidental error, V14, Inadequate supervision, Real
 S23, There are written procedures, The scenario is not sufficiently characterized to perform a preliminary analysis., More,It is not possible to know with sufficient certainty whether users can refer to correct procedures, M4, Asynchronous attack, V4,Failure to periodically check the procedures installed on the system, Potential
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M7, Logic bombs, V7, Untested software applications, Real
 S97, Specific procedures have been put in place to safely carry out the processing of sensitive data., The described scenario presents no known security threats., No,,,,,,
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M27, Violation of login procedures, V3,Uncontrolled changes to the application software, Real
 S66, There are no specific procedures for controlling the development of new software created directly by the company, The described scenario presents at least one security threat., Yes, The suitability and safety of the developed software are not evaluated, M22, Hidden access doors, V7, Untested software applications, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M5, Trojan Horse Attack, V23, Unauthorized software applications, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M25, Sabotage, V14, Inadequate supervision, Real
 S18, Platform logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M20, Service interruption, V14, Inadequate supervision, Potential
